"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"37401",1826,4565,"16/9/1986 00:00:00",65,7,6.7,18.4,"Anguilla anguilla",6
"39739",1743,4853,"12/10/1995 00:00:00",55,7.14,7.2,17.2,"Salmo trutta fario",17
"23482",937,2980,"20/9/2007 00:00:00",23,41.51,6,18.5,"Anguilla anguilla",20
"12155",451,1467,"9/9/2004 00:00:00",57,109,3.8,20,"Scardinius erythrophthalmus",3
"25803",1168,3310,"21/9/2006 00:00:00",NA,NA,4.5,17.7,"Cottus gobio",47
"22650",830,2871,"21/9/2007 00:00:00",155,10.74,5.2,17.7,"Anguilla anguilla",1
"32962",1436,3999,"10/10/2006 00:00:00",75,33,4.6,19.7,"Phoxinus phoxinus",1236
"3546",449,420,"25/9/1996 00:00:00",47,305,3.9,20.2,"Alburnus alburnus",26
"39552",1717,4830,"16/9/1997 00:00:00",4,27,6.6,18.6,"Squalius cephalus",47
"2091",179,252,"13/9/1994 00:00:00",46,63,3.9,18.8,"Tinca tinca",1
"22614",760,2866,"29/6/2006 00:00:00",14,138,5.5,18.5,"Gobio gobio",45
"28130",1287,3584,"12/9/1995 00:00:00",17,308,5.8,20.2,"Sander lucioperca",2
"13436",662,1607,"16/6/2005 00:00:00",35,493,4.5,20.3,"Gobio gobio",1
"19061",973,2398,"13/9/1988 00:00:00",185,13.1,3.9,18.4,"Phoxinus phoxinus",83
"15920",827,1934,"6/9/1990 00:00:00",52,39.02,4.8,18.5,"Salmo trutta fario",50
"8973",87,1060,"19/4/1988 00:00:00",NA,NA,4.3,18.2,"Perca fluviatilis",18
"29616",1401,3712,"3/6/1986 00:00:00",23,57,5.8,19.9,"Barbus barbus",2
"31416",1341,3866,"6/5/1996 00:00:00",NA,NA,4.4,18.3,"Phoxinus phoxinus",200
"39694",1474,4847,"31/8/1995 00:00:00",170,7,6.3,17,"Phoxinus phoxinus",4
"20328",877,2567,"1/10/1998 00:00:00",5,52.03,6,17.7,"Liza ramada",2
"2756",38,331,"13/5/1998 00:00:00",16,79,4,18.4,"Blicca bjoerkna",114
"21766",899,2754,"18/9/2003 00:00:00",45,29.16,5.9,18,"Salmo salar",6
"26052",1110,3351,"15/9/2005 00:00:00",104,13.12,3.9,18.5,"Esox lucius",5
"7330",472,847,"21/9/1994 00:00:00",31,414,4.9,20.8,"Anguilla anguilla",3
"19984",899,2520,"18/9/1997 00:00:00",45,29.16,5.9,18,"Cottus gobio",47
"39727",1472,4852,"7/9/1995 00:00:00",100,18,6,18.1,"Anguilla anguilla",1
"2635",37,318,"1/9/1988 00:00:00",152,29,3,18.5,"Abramis brama",8
"36532",1877,4461,"19/10/1988 00:00:00",35,3,6.9,18.6,"Lampetra planeri",4
"27928",1381,3562,"25/9/1985 00:00:00",13,893,5.9,20.2,"Scardinius erythrophthalmus",3
"3766",13,440,"25/10/1988 00:00:00",69,12,3.4,18.8,"Cottus gobio",113
"7795",619,905,"15/9/1995 00:00:00",38,489,4.4,20.1,"Rutilus rutilus",19
"32412",1330,3951,"6/9/2002 00:00:00",34,57,5.9,19.7,"Anguilla anguilla",3
"28653",1287,3627,"8/9/1998 00:00:00",17,308,5.8,20.2,"Rhodeus amarus",66
"29269",1380,3675,"24/6/1986 00:00:00",NA,NA,5.8,20,"Lepomis gibbosus",3
"24403",852,3139,"29/10/1985 00:00:00",NA,163,4.6,19.5,"Rutilus rutilus",132
"2897",44,344,"17/5/2000 00:00:00",20,68,3.8,18.9,"Rhodeus amarus",3
"24421",779,3141,"8/6/1995 00:00:00",9,610.5,4.3,19,"Abramis brama",2
"1347",678,166,"14/10/1997 00:00:00",44,18,4,19.2,"Barbatula barbatula",4
"7196",615,826,"7/11/1986 00:00:00",23,460,4.6,20.3,"Anguilla anguilla",4
"14641",617,1764,"29/6/2006 00:00:00",59,16,4.1,19.8,"Carassius carassius",25
"24924",1104,3195,"2/9/1999 00:00:00",138,3.33,3.7,18.1,"Oncorhynchus mykiss",1
"23745",1108,3030,"9/10/1996 00:00:00",27,3.7,5.1,18.1,"Cottus gobio",27
"13391",182,1603,"22/6/2005 00:00:00",16,135,4.3,18.7,"Esox lucius",1
"1489",677,178,"4/5/2000 00:00:00",24,300,4.1,19.5,"Abramis brama",11
"15270",258,1843,"11/10/2007 00:00:00",75,34,3.2,19.1,"Phoxinus phoxinus",15
"14177",114,1699,"6/9/2006 00:00:00",15,19,4.6,18,"Oncorhynchus mykiss",1
"6452",269,733,"20/8/1985 00:00:00",NA,230,3.6,19,"Gasterosteus aculeatus",1
"39829",1706,4863,"21/6/1996 00:00:00",54,11,6.1,18.6,"Lepomis gibbosus",1
"8499",133,1006,"28/9/1999 00:00:00",19,54,4.3,18.2,"Oncorhynchus mykiss",2
"3775",15,442,"26/10/1988 00:00:00",50,14,3.6,18.8,"Barbatula barbatula",124
"28858",1427,3641,"9/10/1997 00:00:00",85,95,4.4,19.5,"Rutilus rutilus",80
"9287",135,1120,"12/9/2002 00:00:00",43,26,4.1,18,"Salmo trutta fario",35
"7137",369,819,"16/5/2002 00:00:00",33,470,3.9,19.4,"Lota lota",15
"9992",243,1228,"27/6/1996 00:00:00",180,30,2.7,18.5,"Gymnocephalus cernuus",9
"32939",1345,3997,"9/10/2006 00:00:00",209,5.4,4.3,18.6,"Cottus gobio",2
"11135",246,1345,"12/6/1998 00:00:00",50,76,3.5,19.3,"Squalius cephalus",1
"7443",618,859,"30/5/1996 00:00:00",33,510,4.8,20.8,"Abramis brama",3
"2884",48,342,"16/5/2000 00:00:00",170,9,2.7,18.3,"Phoxinus phoxinus",103
"29949",1351,3743,"10/7/1990 00:00:00",25,250,5.6,19.7,"Lepomis gibbosus",9
"22208",756,2817,"22/6/2004 00:00:00",NA,NA,0,NA,"Squalius cephalus",110
"12414",55,1491,"5/10/2004 00:00:00",31,30,3.7,18.9,"Gasterosteus aculeatus",36
"7318",661,845,"22/9/1993 00:00:00",29,411,4.5,20.4,"Perca fluviatilis",25
"17879",1196,2225,"18/9/1986 00:00:00",206,6,4.3,18.1,"Salmo trutta fario",3
"355",675,47,"3/9/2003 00:00:00",38,16,4,19.3,"Pungitius pungitius",23
"25249",775,3243,"20/10/1992 00:00:00",NA,NA,4.6,19.1,"Rutilus rutilus",50
"16275",811,1983,"17/6/1987 00:00:00",4,59.2,5.9,17.8,"Gasterosteus aculeatus",1
"8210",661,950,"17/6/2003 00:00:00",29,411,4.5,20.4,"Chondrostoma nasus",1
"30757",1427,3815,"2/10/2001 00:00:00",85,95,4.4,19.5,"Phoxinus phoxinus",165
"6246",368,706,"2/9/2003 00:00:00",34,347,3.9,19.4,"Gasterosteus aculeatus",1
"28172",1274,3588,"24/5/1995 00:00:00",11,32.8,6.4,19.6,"Sander lucioperca",11
"8066",472,934,"26/10/1999 00:00:00",31,414,4.9,20.8,"Squalius cephalus",3
"25276",859,3246,"25/10/1990 00:00:00",22,80,4.3,19.3,"Squalius cephalus",20
"13504",615,1615,"9/6/2005 00:00:00",23,460,4.6,20.3,"Gymnocephalus cernuus",3
"7133",369,819,"16/5/2002 00:00:00",33,470,3.9,19.4,"Cottus gobio",5
"33376",1287,4035,"7/9/2005 00:00:00",17,308,5.8,20.2,"Esox lucius",4
"30075",1356,3757,"31/8/1982 00:00:00",NA,NA,4.8,20,"Squalius cephalus",43
"27706",1284,3540,"22/10/1991 00:00:00",NA,NA,5.7,19.8,"Abramis brama",16
"3418",493,403,"17/10/1989 00:00:00",65,180,3.7,19.9,"Perca fluviatilis",15
"4056",38,475,"18/5/2000 00:00:00",16,79,4,18.4,"Abramis brama",1
"25109",841,3224,"4/9/1984 00:00:00",NA,131,4.5,19.2,"Leuciscus leuciscus",4
"35302",1613,4286,"29/9/1988 00:00:00",125,6,6.7,17.1,"Anguilla anguilla",2
"17442",899,2163,"10/10/1990 00:00:00",45,29.16,5.9,18,"Squalius cephalus",140
"30179",1435,3768,"16/9/1993 00:00:00",25,238,5.7,19.8,"Anguilla anguilla",16
"9237",133,1110,"18/11/1998 00:00:00",19,54,4.3,18.2,"Cottus gobio",1
"28540",1272,3616,"20/10/1981 00:00:00",3,950,6,20,"Abramis brama",4
"36854",1789,4497,"7/9/1992 00:00:00",45,11,6.5,18.7,"Barbatula barbatula",45
"30260",1369,3775,"11/10/1994 00:00:00",34,40,5.7,20.4,"Carassius carassius",5
"30313",1410,3780,"7/9/2000 00:00:00",135,14,4.7,18.9,"Phoxinus phoxinus",42
"773",592,98,"16/5/2001 00:00:00",59,61,4,19.9,"Rutilus rutilus",7
"16406",993,2001,"6/6/1988 00:00:00",17,56.5,6.1,18.3,"Alburnus alburnus",96
"21422",1223,2711,"4/9/2001 00:00:00",122,19.62,4.1,19.4,"Salmo trutta fario",2
"5001",456,569,"8/6/2000 00:00:00",75,27,3.8,19.6,"Rutilus rutilus",86
"21920",979,2775,"11/9/2002 00:00:00",215,19.7,3.7,18.2,"Barbatula barbatula",59
"4303",420,501,"17/3/1993 00:00:00",NA,NA,4,20,"Squalius cephalus",35
"30654",1310,3808,"8/9/1994 00:00:00",46,16,5.7,20.2,"Phoxinus phoxinus",30
"5548",378,642,"11/6/1992 00:00:00",75,19,3.9,18.9,"Anguilla anguilla",3
"6914",372,798,"30/10/1996 00:00:00",62,15,4,19,"Gobio gobio",30
"7280",615,840,"25/11/1992 00:00:00",23,460,4.6,20.3,"Sander lucioperca",2
"19346",1223,2437,"15/9/1992 00:00:00",122,19.62,4.1,19.4,"Squalius cephalus",1
"31433",1343,3868,"7/5/1996 00:00:00",NA,NA,4.7,18.5,"Gobio gobio",281
"10069",3,1235,"7/4/1997 00:00:00",70,NA,3.5,18.8,"Perca fluviatilis",19
"36097",1706,4407,"23/6/1993 00:00:00",54,11,6.1,18.6,"Gobio gobio",17
"14742",370,1774,"5/7/2006 00:00:00",29,260,4,19.4,"Cottus gobio",1
"18610",810,2327,"28/9/1993 00:00:00",15,24,5.9,17.6,"Squalius cephalus",10
"38475",1468,4701,"19/11/1985 00:00:00",50,9,7,17.6,"Barbatula barbatula",5
"6519",277,745,"9/10/1987 00:00:00",NA,NA,3.8,19.2,"Oncorhynchus mykiss",4
"28836",1438,3640,"8/10/1997 00:00:00",54,42,5,19.6,"Esox lucius",21
"16260",808,1981,"18/9/1985 00:00:00",8,56.8,6,18.7,"Salmo salar",9
"1473",676,177,"4/5/2000 00:00:00",33,26,4,19.6,"Perca fluviatilis",12
"14800",675,1780,"30/8/2006 00:00:00",38,16,4,19.3,"Anguilla anguilla",1
"27112",1359,3491,"8/10/1998 00:00:00",83,23,4.5,19.8,"Squalius cephalus",1
"7961",614,922,"17/9/1997 00:00:00",29,428,4.8,20.7,"Sander lucioperca",1
"9039",98,1072,"30/6/1988 00:00:00",NA,NA,3.9,17.8,"Anguilla anguilla",21
"34415",1599,4136,"9/9/1987 00:00:00",40,5,7.3,18,"Anguilla anguilla",12
"23539",1043,2986,"17/10/1986 00:00:00",NA,2,4.4,18.8,"Salmo trutta fario",3
"24549",859,3155,"8/10/1996 00:00:00",22,80,4.3,19.3,"Alburnoides bipunctatus",42
"4333",422,505,"29/9/1993 00:00:00",NA,NA,3.6,19.8,"Ameiurus melas",52
"17353",995,2148,"19/9/1988 00:00:00",15,15,6.1,18.2,"Cottus gobio",6
"36808",1812,4492,"26/8/1992 00:00:00",56,28,7.1,18,"Phoxinus phoxinus",515
"870",582,107,"24/5/2000 00:00:00",NA,NA,3.9,19.6,"Squalius cephalus",26
"29784",1335,3727,"30/8/1984 00:00:00",NA,NA,4.6,18.3,"Cottus gobio",50
"23150",1039,2939,"30/6/2005 00:00:00",143,55.97,4.5,18.1,"Leuciscus leuciscus",17
"19251",980,2426,"3/9/1991 00:00:00",220,8,3.7,18.1,"Gobio gobio",6
"12467",130,1496,"2/6/2004 00:00:00",2,15,4.4,18.1,"Leucaspius delineatus",12
"4275",435,497,"15/10/1992 00:00:00",117,3,3.3,19.6,"Cottus gobio",57
"38896",1779,4755,"29/9/1995 00:00:00",120,4.11,4.9,18.5,"Lampetra planeri",2
"37144",1484,4532,"16/8/1983 00:00:00",139,13,6.2,17.7,"Anguilla anguilla",4
"10587",519,1286,"14/4/1998 00:00:00",120,15,3.8,19,"Gobio gobio",52
"11240",242,1354,"18/6/2003 00:00:00",180,95,2.5,18.2,"Gobio gobio",23
"14035",411,1682,"6/9/2006 00:00:00",78,13,3.9,18.8,"Lampetra planeri",12
"9578",244,1164,"7/9/1988 00:00:00",42,294,4,19.6,"Anguilla anguilla",8
"6878",374,795,"1/10/1996 00:00:00",34,25,4,19.4,"Pungitius pungitius",1
"21884",828,2770,"16/10/2001 00:00:00",28,27.16,5.5,18.4,"Barbatula barbatula",24
"19709",957,2485,"20/10/1993 00:00:00",66,97,5,18.6,"Phoxinus phoxinus",28
"23603",1088,3002,"20/9/1990 00:00:00",20,1,4.9,18.4,"Gasterosteus aculeatus",3
"21455",1227,2715,"3/9/2001 00:00:00",113,57,4.2,19.5,"Salmo trutta fario",6
"35414",1576,4309,"1/9/1991 00:00:00",75,8,7,17.8,"Barbatula barbatula",2
"5295",449,597,"16/9/2003 00:00:00",47,305,3.9,20.2,"Tinca tinca",16
"12316",245,1480,"22/6/2004 00:00:00",41,52,3.8,19.3,"Chondrostoma nasus",1
"23962",1163,3068,"16/10/1997 00:00:00",43,24,4.6,18.2,"Cottus gobio",75
"421",515,56,"19/9/1995 00:00:00",17,544,4.4,19.4,"Gobio gobio",1
"37234",1799,4545,"12/9/1984 00:00:00",125,21,6.7,17.6,"Leuciscus leuciscus",106
"460",518,61,"3/8/1989 00:00:00",NA,NA,4.1,19.3,"Gobio gobio",5
"34708",1597,4190,"15/9/1992 00:00:00",75,5,7,17.5,"Salmo trutta fario",204
"13700",676,1636,"31/8/2005 00:00:00",33,26,4,19.6,"Cobitis taenia",1
"23294",758,2957,"27/9/2006 00:00:00",90,15,6.2,17.9,"Anguilla anguilla",12
"4828",450,554,"15/4/1999 00:00:00",58,285,4,20,"Gobio gobio",11
"37693",1886,4595,"24/8/1992 00:00:00",60,11,7.1,18,"Anguilla anguilla",13
"4293",419,500,"17/3/1993 00:00:00",NA,NA,3.9,20.1,"Pungitius pungitius",102
"27059",1442,3487,"5/6/1998 00:00:00",27,19,6.5,20.1,"Squalius cephalus",141
"21494",929,2720,"29/8/2001 00:00:00",41,13.36,5.7,17.3,"Cottus gobio",12
"11491",521,1387,"12/6/2003 00:00:00",21,492,4.3,19.6,"Abramis brama",1
"36058",1717,4403,"27/9/1993 00:00:00",4,27,6.6,18.6,"Gasterosteus aculeatus",9
"18832",1138,2357,"29/8/1984 00:00:00",157,14.5,4.1,18.8,"Lampetra planeri",4
"30147",1436,3765,"15/9/1993 00:00:00",75,33,4.6,19.7,"Gobio gobio",29
"36918",1845,4503,"9/9/1993 00:00:00",94,26,6.8,18,"Gobio gobio",7
"38575",1507,4714,"27/9/1990 00:00:00",114,14,6.5,17.5,"Salmo trutta fario",79
"32080",1359,3925,"6/10/1994 00:00:00",83,23,4.5,19.8,"Tinca tinca",12
"24447",779,3145,"20/9/1995 00:00:00",9,610.5,4.3,19,"Gobio gobio",7
"19327",981,2434,"24/10/1991 00:00:00",209,10,4.2,18.2,"Leuciscus leuciscus",73
"10402",245,1266,"31/5/2001 00:00:00",41,52,3.8,19.3,"Alburnus alburnus",4
"37857",1476,4616,"15/7/1981 00:00:00",7,46,7.2,17.8,"Anguilla anguilla",108
"38578",1474,4715,"27/9/1990 00:00:00",170,7,6.3,17,"Barbatula barbatula",37
"19332",965,2435,"24/10/1991 00:00:00",200,16.5,4.3,18.2,"Barbatula barbatula",378
"25098",840,3223,"29/8/1984 00:00:00",NA,624,4.7,19.4,"Rutilus rutilus",5
"20161",1001,2542,"14/10/1994 00:00:00",121,13.45,4.9,18.2,"Salmo trutta fario",62
"23985",1162,3071,"3/6/1998 00:00:00",5,663,4.5,18.8,"Liza ramada",1
"9693",216,1179,"28/4/1988 00:00:00",77,26,3.4,19.6,"Lampetra planeri",2
"15330",469,1851,"11/9/2007 00:00:00",35,87,4,19.4,"Anguilla anguilla",2
"39036",1740,4774,"26/9/1995 00:00:00",45,33.79,7.2,18,"Petromyzon marinus",4
"26973",1266,3479,"15/9/1998 00:00:00",10,24,5.9,20.1,"Abramis brama",4
"7406",614,855,"17/5/1995 00:00:00",29,428,4.8,20.7,"Perca fluviatilis",11
"19163",980,2415,"11/9/1990 00:00:00",220,8,3.7,18.1,"Squalius cephalus",1
"28358",1309,3604,"12/9/1996 00:00:00",28,92,5.5,20.5,"Squalius cephalus",9
"13268",556,1587,"22/6/2006 00:00:00",36,46,4.3,20.2,"Barbatula barbatula",1
"5598",368,649,"13/6/1995 00:00:00",34,347,3.9,19.4,"Squalius cephalus",29
"9047",139,1074,"29/6/1988 00:00:00",88,14,3.9,17.8,"Gasterosteus aculeatus",1
"17049",752,2096,"10/9/1992 00:00:00",258,5,5,17.2,"Anguilla anguilla",1
"8381",129,989,"26/4/1995 00:00:00",4,73,4.4,18.2,"Anguilla anguilla",16
"10040",241,1232,"24/9/1996 00:00:00",60,356,3.6,19.8,"Cobitis taenia",1
"13988",343,1677,"12/7/2006 00:00:00",119,60,3,18.8,"Cottus gobio",2
"20152",801,2541,"27/9/1994 00:00:00",75,7,5.8,18.3,"Anguilla anguilla",19
"32491",1310,3956,"3/9/2003 00:00:00",46,16,5.7,20.2,"Barbatula barbatula",51
"30204",1378,3769,"23/9/1993 00:00:00",122,66,5,19.8,"Sander lucioperca",2
"18305",1253,2287,"24/9/1990 00:00:00",147,8.39,4,19.1,"Salmo trutta fario",61
"18380",958,2295,"30/10/1990 00:00:00",110,91,4.8,18.4,"Perca fluviatilis",1
"20598",830,2602,"13/9/2000 00:00:00",155,10.74,5.2,17.7,"Salmo trutta fario",17
"34691",1566,4188,"15/9/1992 00:00:00",15,12,7.2,17.6,"Salmo salar",35
"35072",1708,4241,"4/10/1991 00:00:00",20,23,6,18.8,"Cottus gobio",26
"5367",280,609,"4/8/1988 00:00:00",90,7,3.6,18.9,"Salmo trutta fario",42
"33810",1437,4067,"19/9/2007 00:00:00",68,125,5,19.3,"Gobio gobio",46
"5389",284,613,"4/8/1988 00:00:00",60,23,3.8,19.1,"Salmo trutta fario",63
"38941",1776,4761,"7/10/1994 00:00:00",28,22,5.9,18.7,"Barbatula barbatula",4
"800",592,100,"22/5/2002 00:00:00",59,61,4,19.9,"Ameiurus melas",1
"32220",1274,3936,"21/8/2002 00:00:00",11,32.8,6.4,19.6,"Gymnocephalus cernuus",2
"23359",1042,2965,"18/9/2007 00:00:00",209,7.2,4.2,18.2,"Anguilla anguilla",15
"36402",1794,4444,"11/9/1985 00:00:00",33,34,6.9,18.6,"Perca fluviatilis",9
"9174",134,1102,"16/10/1997 00:00:00",15,13,4.4,18.2,"Gasterosteus aculeatus",8
"34385",1596,4130,"8/9/1987 00:00:00",92,11,7,17.6,"Salmo salar",33
"13314",182,1594,"27/6/2006 00:00:00",16,135,4.3,18.7,"Squalius cephalus",3
"14750",371,1775,"5/7/2006 00:00:00",40,37,3.9,19.5,"Anguilla anguilla",42
"24171",1103,3103,"11/9/2001 00:00:00",43,17,4.3,18.4,"Pungitius pungitius",41
"33021",1269,4007,"30/6/2004 00:00:00",6,77,6.6,19.5,"Anguilla anguilla",38
"26191",849,3375,"13/9/2006 00:00:00",23,46.6,4.2,18.9,"Salmo trutta fario",9
"27269",1309,3504,"10/9/1997 00:00:00",28,92,5.5,20.5,"Tinca tinca",1
"19792",1006,2495,"19/9/1996 00:00:00",49,10.11,5.7,17.3,"Salmo trutta fario",67
"14908",199,1794,"31/5/2007 00:00:00",34,12,4.1,18.7,"Esox lucius",2
"8436",130,997,"14/5/1996 00:00:00",2,15,4.4,18.1,"Rutilus rutilus",22
"25706",1104,3292,"7/9/2004 00:00:00",138,3.33,3.7,18.1,"Cottus gobio",541
"5411",523,618,"17/8/1988 00:00:00",25,16,4.3,19.5,"Phoxinus phoxinus",287
"7747",614,899,"13/9/1995 00:00:00",29,428,4.8,20.7,"Abramis brama",1
"30673",1287,3809,"6/9/1994 00:00:00",17,308,5.8,20.2,"Abramis brama",234
"19125",977,2409,"25/9/1990 00:00:00",86,18,4.4,18.5,"Anguilla anguilla",6
"16476",1004,2010,"20/9/1989 00:00:00",75,30,5.9,18,"Anguilla anguilla",531
"17180",881,2116,"8/9/1983 00:00:00",158,12.5,5.1,17.9,"Cottus gobio",7
"20595",830,2602,"13/9/2000 00:00:00",155,10.74,5.2,17.7,"Gobio gobio",1
"10430",248,1268,"11/10/2001 00:00:00",70,36,3.4,19.7,"Lampetra planeri",1
"12590",137,1513,"14/6/2005 00:00:00",45,41,3.6,18.6,"Esox lucius",1
"27321",1330,3508,"16/9/1997 00:00:00",34,57,5.9,19.7,"Alburnus alburnus",120
"6491",272,739,"2/9/1986 00:00:00",56,57,3.8,19.6,"Barbatula barbatula",8
"14788",592,1778,"29/8/2006 00:00:00",59,61,4,19.9,"Perca fluviatilis",1
"6635",381,764,"10/5/1989 00:00:00",90,15,3.9,18.8,"Salmo trutta fario",39
"12738",532,1530,"5/10/2005 00:00:00",125,3,3.7,19.1,"Barbatula barbatula",62
"10727",514,1304,"27/3/2002 00:00:00",80,13,3.9,19.6,"Perca fluviatilis",10
"34637",1729,4178,"13/10/1992 00:00:00",28,23.59,7.3,18.2,"Cottus gobio",227
"29077",1275,3660,"2/9/1999 00:00:00",18,66,6.1,20.1,"Gobio gobio",32
"10848",242,1321,"30/5/1995 00:00:00",180,95,2.5,18.2,"Esox lucius",3
"9733",300,1184,"17/5/1988 00:00:00",60,15,3.7,19.4,"Perca fluviatilis",33
"7668",472,891,"24/11/1992 00:00:00",31,414,4.9,20.8,"Cyprinus carpio",2
"26526",858,3439,"27/9/2007 00:00:00",141,44,3.9,18.6,"Phoxinus phoxinus",80
"38891",1689,4754,"3/10/1995 00:00:00",5,135,6.6,19.4,"Sander lucioperca",1
"32818",1363,3985,"27/9/2005 00:00:00",118,19,4.8,19,"Phoxinus phoxinus",150
"32291",1436,3941,"9/10/2002 00:00:00",75,33,4.6,19.7,"Rutilus rutilus",15
"9363",140,1135,"25/9/2003 00:00:00",15,9,4.5,18,"Anguilla anguilla",93
"7535",615,869,"18/9/1996 00:00:00",23,460,4.6,20.3,"Squalius cephalus",2
"39632",1576,4838,"23/8/1995 00:00:00",75,8,7,17.8,"Salmo salar",20
"7880",616,913,"28/5/1997 00:00:00",33,500,4.5,20.2,"Abramis brama",9
"29303",1293,3678,"25/6/1986 00:00:00",18,66,5.7,20.3,"Rutilus rutilus",24
"4409",433,514,"7/9/1989 00:00:00",75,3,3.6,19.8,"Phoxinus phoxinus",160
"22236",1039,2819,"12/10/2004 00:00:00",143,55.97,4.5,18.1,"Rutilus rutilus",34
"3427",494,404,"24/10/1989 00:00:00",60,635,3.6,19.5,"Phoxinus phoxinus",82
"20878",1011,2640,"18/9/1995 00:00:00",12,62.32,6,18.7,"Barbatula barbatula",6
"9380",286,1138,"9/9/1986 00:00:00",170,28,2.8,18.6,"Lampetra planeri",6
"24608",859,3160,"15/10/1998 00:00:00",22,80,4.3,19.3,"Tinca tinca",2
"23714",1110,3025,"7/11/1995 00:00:00",104,13.12,3.9,18.5,"Gobio gobio",40
"27095",1435,3489,"6/10/1998 00:00:00",25,238,5.7,19.8,"Tinca tinca",9
"23276",704,2954,"19/9/2006 00:00:00",40,43.16,4.9,18.4,"Cottus gobio",42
"8759",619,1036,"28/4/1999 00:00:00",38,489,4.4,20.1,"Perca fluviatilis",2
"17061",748,2098,"5/10/1993 00:00:00",71,4.44,4.8,18.2,"Salmo trutta fario",97
"37743",1663,4601,"27/9/1994 00:00:00",59,11.58,7.1,17.9,"Anguilla anguilla",12
"21717",827,2748,"23/9/2003 00:00:00",52,39.02,4.8,18.5,"Salmo trutta fario",29
"29876",1340,3736,"18/9/1995 00:00:00",180,11,4.4,18.4,"Tinca tinca",1
"22873",1253,2905,"7/9/2004 00:00:00",147,8.39,4,19.1,"Lampetra planeri",2
"36853",1789,4497,"7/9/1992 00:00:00",45,11,6.5,18.7,"Gobio gobio",15
"24728",858,3172,"26/9/2000 00:00:00",141,44,3.9,18.6,"Salmo trutta fario",16
"20156",801,2541,"27/9/1994 00:00:00",75,7,5.8,18.3,"Salmo trutta fario",33
"33675",1287,4057,"6/9/2006 00:00:00",17,308,5.8,20.2,"Blicca bjoerkna",20
"19386",1199,2443,"8/7/1992 00:00:00",275,4.5,3.7,18,"Cottus gobio",11
"29018",1439,3655,"23/6/1999 00:00:00",120,6,4.8,20,"Gobio gobio",114
"39000",1709,4770,"20/11/1996 00:00:00",66,17,5.7,18.6,"Anguilla anguilla",19
"24654",858,3165,"21/9/1999 00:00:00",141,44,3.9,18.6,"Rutilus rutilus",1
"15506",617,1869,"13/9/2007 00:00:00",59,16,4.1,19.8,"Perca fluviatilis",9
"18122",1218,2255,"20/10/1986 00:00:00",140,19.4,4.7,18.5,"Salmo trutta fario",4
"20171",749,2544,"24/10/1997 00:00:00",25,23,5.1,18.4,"Salmo salar",1
"38018",1522,4638,"14/6/1988 00:00:00",88,18,5.9,18.4,"Rutilus rutilus",64
"4978",453,566,"8/6/2000 00:00:00",49,67,3.9,19.6,"Cottus gobio",8
"1751",551,218,"3/3/1992 00:00:00",NA,NA,3.8,19.8,"Phoxinus phoxinus",1
"22646",725,2870,"6/9/2007 00:00:00",243,4.83,4.7,17.4,"Cottus gobio",136
"35884",1756,4379,"8/10/1991 00:00:00",135,4,4.9,18.4,"Barbatula barbatula",4
"19822",702,2499,"5/9/1996 00:00:00",55,46.79,6.2,18.1,"Cottus gobio",35
"14092",519,1690,"28/6/2006 00:00:00",120,15,3.8,19,"Lampetra planeri",1
"8419",133,995,"4/10/1995 00:00:00",19,54,4.3,18.2,"Salmo trutta fario",7
"20689",899,2614,"14/9/2000 00:00:00",45,29.16,5.9,18,"Salmo trutta fario",18
"24031",1165,3077,"20/10/1998 00:00:00",19,34,4.7,18.2,"Anguilla anguilla",55
"22800",1046,2891,"20/7/1989 00:00:00",NA,20,4.5,19.1,"Rutilus rutilus",8
"24162",1104,3101,"6/9/2001 00:00:00",138,3.33,3.7,18.1,"Cottus gobio",354
"25177",856,3234,"30/9/1986 00:00:00",NA,NA,4.8,19.1,"Barbatula barbatula",344
"39921",1855,4875,"17/10/1995 00:00:00",66,16.05,6.9,18,"Esox lucius",1
"39598",1689,4834,"23/9/1997 00:00:00",5,135,6.6,19.4,"Gobio gobio",3
"2665",31,321,"28/9/1994 00:00:00",1,NA,4.5,18.2,"Scardinius erythrophthalmus",4
"25142",845,3228,"29/8/1984 00:00:00",NA,50,4.7,19.4,"Phoxinus phoxinus",7
"13849",146,1652,"22/8/2006 00:00:00",6,20,4.8,17.9,"Cottus gobio",1
"26855",1441,3470,"13/6/1996 00:00:00",3,62,6.2,20.8,"Blicca bjoerkna",11
"28726",1309,3631,"10/9/1998 00:00:00",28,92,5.5,20.5,"Gobio gobio",9
"36874",1872,4499,"16/6/1992 00:00:00",9,52,6.8,19.1,"Esox lucius",1
"33081",1276,4011,"2/7/2004 00:00:00",15,16,6.1,19.8,"Lampetra planeri",8
"15226",678,1839,"4/10/2007 00:00:00",44,18,4,19.2,"Rhodeus amarus",4
"24699",780,3169,"10/5/2000 00:00:00",5,611,4.3,19,"Rutilus rutilus",33
"29013",1377,3654,"22/6/1999 00:00:00",27,19,5.4,20.5,"Leucaspius delineatus",2
"26043",1104,3349,"7/9/2005 00:00:00",138,3.33,3.7,18.1,"Lampetra planeri",4
"35887",1756,4379,"8/10/1991 00:00:00",135,4,4.9,18.4,"Salmo trutta fario",3
