"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"14763",371,1775,"5/7/2006 00:00:00",40,37,3.9,19.5,"Cobitis taenia",2
"16581",1227,2028,"8/9/1997 00:00:00",113,57,4.2,19.5,"Phoxinus phoxinus",130
"9453",294,1147,"19/4/1988 00:00:00",92,NA,3,18.7,"Rutilus rutilus",9
"13659",617,1633,"22/6/2005 00:00:00",59,16,4.1,19.8,"Cyprinus carpio",5
"31751",1371,3897,"22/8/1991 00:00:00",18,47,6.4,20,"Lepomis gibbosus",27
"10531",515,1278,"5/6/1996 00:00:00",17,544,4.4,19.4,"Rutilus rutilus",15
"3505",447,415,"16/6/1994 00:00:00",NA,NA,3,19.2,"Gasterosteus aculeatus",11
"15839",744,1920,"20/10/1988 00:00:00",147,4.4,4.6,17.9,"Cottus gobio",18
"21909",755,2774,"16/10/2001 00:00:00",8,142.8,5.6,18.4,"Alburnus alburnus",125
"16501",923,2012,"18/9/1989 00:00:00",20,56,6.1,18.2,"Rutilus rutilus",175
"20570",828,2597,"26/9/2000 00:00:00",28,27.16,5.5,18.4,"Phoxinus phoxinus",5
"18204",1195,2270,"5/8/1988 00:00:00",180,8.1,4.4,18.2,"Cottus gobio",5
"36095",1706,4407,"23/6/1993 00:00:00",54,11,6.1,18.6,"Cottus gobio",1
"14013",178,1679,"29/6/2006 00:00:00",41,10,3.9,18.9,"Leuciscus leuciscus",8
"32175",1308,3933,"12/9/2001 00:00:00",63,17,5.4,20.2,"Gobio gobio",4
"20148",1010,2540,"20/9/1994 00:00:00",189,6.11,4.7,17.8,"Barbatula barbatula",6
"16688",705,2041,"25/8/1981 00:00:00",6,66,5.5,18.5,"Salmo trutta fario",1
"19258",957,2427,"29/10/1991 00:00:00",66,97,5,18.6,"Cottus gobio",18
"9961",3,1225,"24/4/1996 00:00:00",70,NA,3.5,18.8,"Sander lucioperca",1
"176",679,25,"11/5/1995 00:00:00",25,8,4.1,19.5,"Pungitius pungitius",1
"27268",1309,3504,"10/9/1997 00:00:00",28,92,5.5,20.5,"Sander lucioperca",6
"19819",1010,2498,"25/9/1996 00:00:00",189,6.11,4.7,17.8,"Phoxinus phoxinus",2
"35515",1565,4328,"23/9/1993 00:00:00",78,27,7,17.5,"Barbatula barbatula",111
"18424",956,2301,"29/10/1991 00:00:00",64,99,5.1,18.6,"Rutilus rutilus",274
"30236",1339,3772,"16/11/1993 00:00:00",145,13,4.8,18.7,"Rutilus rutilus",7
"7193",615,825,"7/11/1986 00:00:00",23,460,4.6,20.3,"Perca fluviatilis",41
"5480",360,631,"26/7/1989 00:00:00",NA,42,3.8,18.7,"Phoxinus phoxinus",46
"1406",678,172,"20/10/1998 00:00:00",44,18,4,19.2,"Rhodeus amarus",2
"1993",556,239,"5/6/2003 00:00:00",36,46,4.3,20.2,"Rutilus rutilus",17
"6007",372,686,"21/10/1998 00:00:00",62,15,4,19,"Gobio gobio",13
"26971",1266,3479,"15/9/1998 00:00:00",10,24,5.9,20.1,"Lepomis gibbosus",19
"1335",684,165,"18/9/1997 00:00:00",95,3,3.9,18.9,"Cottus gobio",290
"23034",1010,2925,"7/9/2005 00:00:00",189,6.11,4.7,17.8,"Salmo trutta fario",76
"39931",1888,4876,"17/10/1995 00:00:00",140,18,6.6,17.6,"Salmo trutta fario",28
